"cnty_fips","display_name","Value","theme_range"
48371,"""Pecos, (TX)""",58.1,"0.0 - 61.8 (645)"
48373,"""Polk, (TX)""",134.3,"88.5 - 173.8 (642)"
48377,"""Presidio, (TX)""",54.4,"0.0 - 61.8 (645)"
48383,"""Reagan, (TX)""",75.8,"70.6 - 77.9 (646)"
48385,"""Real, (TX)""",75.1,"70.6 - 77.9 (646)"
48389,"""Reeves, (TX)""",61.5,"0.0 - 61.8 (645)"
48391,"""Refugio, (TX)""",73.4,"70.6 - 77.9 (646)"
48395,"""Robertson, (TX)""",72.7,"70.6 - 77.9 (646)"
48399,"""Runnels, (TX)""",82.3,"78.0 - 88.4 (638)"
48403,"""Sabine, (TX)""",96.4,"88.5 - 173.8 (642)"
48405,"""San Augustine, (TX)""",118,"88.5 - 173.8 (642)"
48407,"""San Jacinto, (TX)""",69.8,"61.9 - 70.5 (645)"
48409,"""San Patricio, (TX)""",81.2,"78.0 - 88.4 (638)"
48411,"""San Saba, (TX)""",85.7,"78.0 - 88.4 (638)"
48413,"""Schleicher, (TX)""",76.6,"70.6 - 77.9 (646)"
48419,"""Shelby, (TX)""",89.8,"88.5 - 173.8 (642)"
48427,"""Starr, (TX)""",53.8,"0.0 - 61.8 (645)"
48431,"""Sterling, (TX)""",87,"78.0 - 88.4 (638)"
48435,"""Sutton, (TX)""",69.5,"61.9 - 70.5 (645)"
48443,"""Terrell, (TX)""",66.4,"61.9 - 70.5 (645)"
48451,"""Tom Green, (TX)""",79,"78.0 - 88.4 (638)"
48453,"""Travis, (TX)""",67.3,"61.9 - 70.5 (645)"
48455,"""Trinity, (TX)""",107.2,"88.5 - 173.8 (642)"
48457,"""Tyler, (TX)""",77.4,"70.6 - 77.9 (646)"
48461,"""Upton, (TX)""",73.8,"70.6 - 77.9 (646)"
48463,"""Uvalde, (TX)""",82.6,"78.0 - 88.4 (638)"
48465,"""Val Verde, (TX)""",69.6,"61.9 - 70.5 (645)"
48469,"""Victoria, (TX)""",67.5,"61.9 - 70.5 (645)"
48471,"""Walker, (TX)""",76.8,"70.6 - 77.9 (646)"
48473,"""Waller, (TX)""",70.3,"61.9 - 70.5 (645)"
48475,"""Ward, (TX)""",75,"70.6 - 77.9 (646)"
48477,"""Washington, (TX)""",65,"61.9 - 70.5 (645)"
48479,"""Webb, (TX)""",71.5,"70.6 - 77.9 (646)"
48481,"""Wharton, (TX)""",86.2,"78.0 - 88.4 (638)"
48489,"""Willacy, (TX)""",52.7,"0.0 - 61.8 (645)"
48491,"""Williamson, (TX)""",67.1,"61.9 - 70.5 (645)"
48493,"""Wilson, (TX)""",78.6,"78.0 - 88.4 (638)"
48495,"""Winkler, (TX)""",82.5,"78.0 - 88.4 (638)"
48505,"""Zapata, (TX)""",69.1,"61.9 - 70.5 (645)"
48507,"""Zavala, (TX)""",85.3,"78.0 - 88.4 (638)"
05007,"""Benton, (AR)""",63.2,"61.9 - 70.5 (645)"
05033,"""Crawford, (AR)""",79.1,"78.0 - 88.4 (638)"
05047,"""Franklin, (AR)""",85.7,"78.0 - 88.4 (638)"
05057,"""Hempstead, (AR)""",103.6,"88.5 - 173.8 (642)"
05061,"""Howard, (AR)""",92.2,"88.5 - 173.8 (642)"
05081,"""Little River, (AR)""",97.7,"88.5 - 173.8 (642)"
05083,"""Logan, (AR)""",91.9,"88.5 - 173.8 (642)"
05087,"""Madison, (AR)""",37.1,"0.0 - 61.8 (645)"
05091,"""Miller, (AR)""",98.8,"88.5 - 173.8 (642)"
05113,"""Polk, (AR)""",84.9,"78.0 - 88.4 (638)"
05127,"""Scott, (AR)""",94.3,"88.5 - 173.8 (642)"
05131,"""Sebastian, (AR)""",93.4,"88.5 - 173.8 (642)"
05133,"""Sevier, (AR)""",80.4,"78.0 - 88.4 (638)"
05143,"""Washington, (AR)""",23.6,"0.0 - 61.8 (645)"
08001,"""Adams, (CO)""",72.9,"70.6 - 77.9 (646)"
08003,"""Alamosa, (CO)""",74.5,"70.6 - 77.9 (646)"
08005,"""Arapahoe, (CO)""",66.9,"61.9 - 70.5 (645)"
08009,"""Baca, (CO)""",60.3,"0.0 - 61.8 (645)"
08011,"""Bent, (CO)""",63.7,"61.9 - 70.5 (645)"
08013,"""Boulder, (CO)""",70.9,"70.6 - 77.9 (646)"
08014,"""Broomfield, (CO)""",73,"70.6 - 77.9 (646)"
08015,"""Chaffee, (CO)""",52.1,"0.0 - 61.8 (645)"
08017,"""Cheyenne, (CO)""",51.1,"0.0 - 61.8 (645)"
08019,"""Clear Creek, (CO)""",60.6,"0.0 - 61.8 (645)"
08021,"""Conejos, (CO)""",70.3,"61.9 - 70.5 (645)"
08023,"""Costilla, (CO)""",41.9,"0.0 - 61.8 (645)"
08025,"""Crowley, (CO)""",72.4,"70.6 - 77.9 (646)"
08027,"""Custer, (CO)""",59.8,"0.0 - 61.8 (645)"
08031,"""Denver, (CO)""",71.4,"70.6 - 77.9 (646)"
08035,"""Douglas, (CO)""",56.2,"0.0 - 61.8 (645)"
08037,"""Eagle, (CO)""",26.1,"0.0 - 61.8 (645)"
08039,"""Elbert, (CO)""",60.3,"0.0 - 61.8 (645)"
08041,"""El Paso, (CO)""",75.7,"70.6 - 77.9 (646)"
08043,"""Fremont, (CO)""",67.5,"61.9 - 70.5 (645)"
08047,"""Gilpin, (CO)""",71.2,"70.6 - 77.9 (646)"
08049,"""Grand, (CO)""",43.3,"0.0 - 61.8 (645)"
08055,"""Huerfano, (CO)""",57.4,"0.0 - 61.8 (645)"
08057,"""Jackson, (CO)""",63.4,"61.9 - 70.5 (645)"
08059,"""Jefferson, (CO)""",73.3,"70.6 - 77.9 (646)"
08061,"""Kiowa, (CO)""",66.4,"61.9 - 70.5 (645)"
08063,"""Kit Carson, (CO)""",53.7,"0.0 - 61.8 (645)"
08065,"""Lake, (CO)""",37.2,"0.0 - 61.8 (645)"
08069,"""Larimer, (CO)""",68.9,"61.9 - 70.5 (645)"
08071,"""Las Animas, (CO)""",59.8,"0.0 - 61.8 (645)"
08073,"""Lincoln, (CO)""",69,"61.9 - 70.5 (645)"
08075,"""Logan, (CO)""",68.2,"61.9 - 70.5 (645)"
08087,"""Morgan, (CO)""",72,"70.6 - 77.9 (646)"
08089,"""Otero, (CO)""",60.7,"0.0 - 61.8 (645)"
08093,"""Park, (CO)""",48,"0.0 - 61.8 (645)"
08095,"""Phillips, (CO)""",51.6,"0.0 - 61.8 (645)"
08099,"""Prowers, (CO)""",67.7,"61.9 - 70.5 (645)"
08101,"""Pueblo, (CO)""",65.6,"61.9 - 70.5 (645)"
08105,"""Rio Grande, (CO)""",78.8,"78.0 - 88.4 (638)"
08109,"""Saguache, (CO)""",60.6,"0.0 - 61.8 (645)"
08115,"""Sedgwick, (CO)""",50.3,"0.0 - 61.8 (645)"
08117,"""Summit, (CO)""",30.4,"0.0 - 61.8 (645)"
08119,"""Teller, (CO)""",56.8,"0.0 - 61.8 (645)"
08121,"""Washington, (CO)""",68.8,"61.9 - 70.5 (645)"
08123,"""Weld, (CO)""",71.2,"70.6 - 77.9 (646)"
08125,"""Yuma, (CO)""",50.6,"0.0 - 61.8 (645)"
19001,"""Adair, (IA)""",60.1,"0.0 - 61.8 (645)"
19003,"""Adams, (IA)""",64.7,"61.9 - 70.5 (645)"
19009,"""Audubon, (IA)""",57.7,"0.0 - 61.8 (645)"
19015,"""Boone, (IA)""",58,"0.0 - 61.8 (645)"
19021,"""Buena Vista, (IA)""",58.9,"0.0 - 61.8 (645)"
19025,"""Calhoun, (IA)""",74.1,"70.6 - 77.9 (646)"
19027,"""Carroll, (IA)""",72.1,"70.6 - 77.9 (646)"
19029,"""Cass, (IA)""",61.7,"0.0 - 61.8 (645)"
19035,"""Cherokee, (IA)""",59.2,"0.0 - 61.8 (645)"
19039,"""Clarke, (IA)""",74.6,"70.6 - 77.9 (646)"
19041,"""Clay, (IA)""",61.3,"0.0 - 61.8 (645)"
19047,"""Crawford, (IA)""",66.8,"61.9 - 70.5 (645)"
19049,"""Dallas, (IA)""",62.4,"61.9 - 70.5 (645)"
19053,"""Decatur, (IA)""",71.7,"70.6 - 77.9 (646)"
19059,"""Dickinson, (IA)""",64.8,"61.9 - 70.5 (645)"
19063,"""Emmet, (IA)""",62.6,"61.9 - 70.5 (645)"
19071,"""Fremont, (IA)""",62.8,"61.9 - 70.5 (645)"
19073,"""Greene, (IA)""",70.4,"61.9 - 70.5 (645)"
19077,"""Guthrie, (IA)""",64.2,"61.9 - 70.5 (645)"
19079,"""Hamilton, (IA)""",70.8,"70.6 - 77.9 (646)"
19081,"""Hancock, (IA)""",54.1,"0.0 - 61.8 (645)"
19085,"""Harrison, (IA)""",61.5,"0.0 - 61.8 (645)"
19091,"""Humboldt, (IA)""",68.3,"61.9 - 70.5 (645)"
19093,"""Ida, (IA)""",62.5,"61.9 - 70.5 (645)"
19109,"""Kossuth, (IA)""",62.8,"61.9 - 70.5 (645)"
19119,"""Lyon, (IA)""",60.3,"0.0 - 61.8 (645)"
19121,"""Madison, (IA)""",63.5,"61.9 - 70.5 (645)"
19129,"""Mills, (IA)""",60.2,"0.0 - 61.8 (645)"
19133,"""Monona, (IA)""",67.4,"61.9 - 70.5 (645)"
19137,"""Montgomery, (IA)""",63.8,"61.9 - 70.5 (645)"
19141,"""O'Brien, (IA)""",53.7,"0.0 - 61.8 (645)"
19143,"""Osceola, (IA)""",60,"0.0 - 61.8 (645)"
19145,"""Page, (IA)""",61.3,"0.0 - 61.8 (645)"
19147,"""Palo Alto, (IA)""",61.8,"0.0 - 61.8 (645)"
19149,"""Plymouth, (IA)""",54.5,"0.0 - 61.8 (645)"
19151,"""Pocahontas, (IA)""",64.6,"61.9 - 70.5 (645)"
19155,"""Pottawattamie, (IA)""",63.1,"61.9 - 70.5 (645)"
19159,"""Ringgold, (IA)""",66.5,"61.9 - 70.5 (645)"
19161,"""Sac, (IA)""",62.8,"61.9 - 70.5 (645)"
19165,"""Shelby, (IA)""",63.1,"61.9 - 70.5 (645)"
19167,"""Sioux, (IA)""",48,"0.0 - 61.8 (645)"
19173,"""Taylor, (IA)""",57.1,"0.0 - 61.8 (645)"
19175,"""Union, (IA)""",68.3,"61.9 - 70.5 (645)"
19187,"""Webster, (IA)""",74.6,"70.6 - 77.9 (646)"
19189,"""Winnebago, (IA)""",59,"0.0 - 61.8 (645)"
19193,"""Woodbury, (IA)""",60.2,"0.0 - 61.8 (645)"
19197,"""Wright, (IA)""",65.2,"61.9 - 70.5 (645)"
20001,"""Allen, (KS)""",78.4,"78.0 - 88.4 (638)"
20003,"""Anderson, (KS)""",77.4,"70.6 - 77.9 (646)"
20005,"""Atchison, (KS)""",68.4,"61.9 - 70.5 (645)"
20007,"""Barber, (KS)""",112.3,"88.5 - 173.8 (642)"
20009,"""Barton, (KS)""",55.3,"0.0 - 61.8 (645)"
20011,"""Bourbon, (KS)""",67.1,"61.9 - 70.5 (645)"
20013,"""Brown, (KS)""",79.4,"78.0 - 88.4 (638)"
20015,"""Butler, (KS)""",72.5,"70.6 - 77.9 (646)"
20017,"""Chase, (KS)""",72.7,"70.6 - 77.9 (646)"
20019,"""Chautauqua, (KS)""",75.2,"70.6 - 77.9 (646)"
20021,"""Cherokee, (KS)""",79.6,"78.0 - 88.4 (638)"
20023,"""Cheyenne, (KS)""",53.6,"0.0 - 61.8 (645)"
20025,"""Clark, (KS)""",67.9,"61.9 - 70.5 (645)"
20027,"""Clay, (KS)""",69.1,"61.9 - 70.5 (645)"
20029,"""Cloud, (KS)""",68.5,"61.9 - 70.5 (645)"
20031,"""Coffey, (KS)""",77.9,"70.6 - 77.9 (646)"
20033,"""Comanche, (KS)""",99.9,"88.5 - 173.8 (642)"
20035,"""Cowley, (KS)""",72.8,"70.6 - 77.9 (646)"
20037,"""Crawford, (KS)""",75.2,"70.6 - 77.9 (646)"
20039,"""Decatur, (KS)""",51.3,"0.0 - 61.8 (645)"
20041,"""Dickinson, (KS)""",75.7,"70.6 - 77.9 (646)"
20043,"""Doniphan, (KS)""",73.2,"70.6 - 77.9 (646)"
20045,"""Douglas, (KS)""",70.2,"61.9 - 70.5 (645)"
20047,"""Edwards, (KS)""",61.3,"0.0 - 61.8 (645)"
20049,"""Elk, (KS)""",79,"78.0 - 88.4 (638)"
20051,"""Ellis, (KS)""",65,"61.9 - 70.5 (645)"
20053,"""Ellsworth, (KS)""",87.7,"78.0 - 88.4 (638)"
20055,"""Finney, (KS)""",50.3,"0.0 - 61.8 (645)"
20057,"""Ford, (KS)""",73.6,"70.6 - 77.9 (646)"
20059,"""Franklin, (KS)""",74,"70.6 - 77.9 (646)"
20061,"""Geary, (KS)""",68.1,"61.9 - 70.5 (645)"
20063,"""Gove, (KS)""",45.5,"0.0 - 61.8 (645)"
20065,"""Graham, (KS)""",49.1,"0.0 - 61.8 (645)"
20067,"""Grant, (KS)""",47.5,"0.0 - 61.8 (645)"
20069,"""Gray, (KS)""",61.5,"0.0 - 61.8 (645)"
20071,"""Greeley, (KS)""",62.8,"61.9 - 70.5 (645)"
20073,"""Greenwood, (KS)""",76.5,"70.6 - 77.9 (646)"
20075,"""Hamilton, (KS)""",54.1,"0.0 - 61.8 (645)"
20077,"""Harper, (KS)""",105.6,"88.5 - 173.8 (642)"
20079,"""Harvey, (KS)""",72,"70.6 - 77.9 (646)"
20081,"""Haskell, (KS)""",56.8,"0.0 - 61.8 (645)"
20083,"""Hodgeman, (KS)""",59,"0.0 - 61.8 (645)"
20085,"""Jackson, (KS)""",70.7,"70.6 - 77.9 (646)"
20087,"""Jefferson, (KS)""",68.6,"61.9 - 70.5 (645)"
20089,"""Jewell, (KS)""",69.5,"61.9 - 70.5 (645)"
20091,"""Johnson, (KS)""",61.5,"0.0 - 61.8 (645)"
20093,"""Kearny, (KS)""",48.6,"0.0 - 61.8 (645)"
20095,"""Kingman, (KS)""",100.4,"88.5 - 173.8 (642)"
20097,"""Kiowa, (KS)""",74,"70.6 - 77.9 (646)"
20099,"""Labette, (KS)""",73.1,"70.6 - 77.9 (646)"
20101,"""Lane, (KS)""",45.5,"0.0 - 61.8 (645)"
20103,"""Leavenworth, (KS)""",57,"0.0 - 61.8 (645)"
20105,"""Lincoln, (KS)""",87.7,"78.0 - 88.4 (638)"
20107,"""Linn, (KS)""",69.8,"61.9 - 70.5 (645)"
20109,"""Logan, (KS)""",57.7,"0.0 - 61.8 (645)"
20111,"""Lyon, (KS)""",66.1,"61.9 - 70.5 (645)"
20113,"""McPherson, (KS)""",80.4,"78.0 - 88.4 (638)"
20115,"""Marion, (KS)""",80.9,"78.0 - 88.4 (638)"
20117,"""Marshall, (KS)""",68.3,"61.9 - 70.5 (645)"
20119,"""Meade, (KS)""",71.1,"70.6 - 77.9 (646)"
20121,"""Miami, (KS)""",55.9,"0.0 - 61.8 (645)"
20123,"""Mitchell, (KS)""",66.6,"61.9 - 70.5 (645)"
20125,"""Montgomery, (KS)""",78.7,"78.0 - 88.4 (638)"
20127,"""Morris, (KS)""",64.1,"61.9 - 70.5 (645)"
20129,"""Morton, (KS)""",69.8,"61.9 - 70.5 (645)"
20131,"""Nemaha, (KS)""",75,"70.6 - 77.9 (646)"
20133,"""Neosho, (KS)""",73.1,"70.6 - 77.9 (646)"
20135,"""Ness, (KS)""",52,"0.0 - 61.8 (645)"
20137,"""Norton, (KS)""",55.1,"0.0 - 61.8 (645)"
20139,"""Osage, (KS)""",72.1,"70.6 - 77.9 (646)"
20141,"""Osborne, (KS)""",71.4,"70.6 - 77.9 (646)"
20143,"""Ottawa, (KS)""",81.1,"78.0 - 88.4 (638)"
20145,"""Pawnee, (KS)""",53.8,"0.0 - 61.8 (645)"
20147,"""Phillips, (KS)""",67.4,"61.9 - 70.5 (645)"
20149,"""Pottawatomie, (KS)""",68.6,"61.9 - 70.5 (645)"
20151,"""Pratt, (KS)""",66.7,"61.9 - 70.5 (645)"
20153,"""Rawlins, (KS)""",51.4,"0.0 - 61.8 (645)"
20155,"""Reno, (KS)""",68.7,"61.9 - 70.5 (645)"
20157,"""Republic, (KS)""",71.5,"70.6 - 77.9 (646)"
20159,"""Rice, (KS)""",72.5,"70.6 - 77.9 (646)"
20161,"""Riley, (KS)""",66.5,"61.9 - 70.5 (645)"
20163,"""Rooks, (KS)""",59,"0.0 - 61.8 (645)"
20165,"""Rush, (KS)""",63,"61.9 - 70.5 (645)"
20167,"""Russell, (KS)""",84.2,"78.0 - 88.4 (638)"
20169,"""Saline, (KS)""",82.3,"78.0 - 88.4 (638)"
20171,"""Scott, (KS)""",47.8,"0.0 - 61.8 (645)"
20173,"""Sedgwick, (KS)""",70.4,"61.9 - 70.5 (645)"
20175,"""Seward, (KS)""",68.1,"61.9 - 70.5 (645)"
20177,"""Shawnee, (KS)""",70,"61.9 - 70.5 (645)"
20179,"""Sheridan, (KS)""",44.8,"0.0 - 61.8 (645)"
20181,"""Sherman, (KS)""",56.6,"0.0 - 61.8 (645)"
20183,"""Smith, (KS)""",64.9,"61.9 - 70.5 (645)"
20185,"""Stafford, (KS)""",62.4,"61.9 - 70.5 (645)"
20187,"""Stanton, (KS)""",54.7,"0.0 - 61.8 (645)"
20189,"""Stevens, (KS)""",63.2,"61.9 - 70.5 (645)"
20191,"""Sumner, (KS)""",78,"78.0 - 88.4 (638)"
20193,"""Thomas, (KS)""",54.3,"0.0 - 61.8 (645)"
20195,"""Trego, (KS)""",54.6,"0.0 - 61.8 (645)"
20197,"""Wabaunsee, (KS)""",65.6,"61.9 - 70.5 (645)"
20199,"""Wallace, (KS)""",61.5,"0.0 - 61.8 (645)"
20201,"""Washington, (KS)""",72.2,"70.6 - 77.9 (646)"
20203,"""Wichita, (KS)""",52.6,"0.0 - 61.8 (645)"
20205,"""Wilson, (KS)""",74.9,"70.6 - 77.9 (646)"
20207,"""Woodson, (KS)""",77.2,"70.6 - 77.9 (646)"
20209,"""Wyandotte, (KS)""",88.2,"78.0 - 88.4 (638)"
22017,"""Caddo, (LA)""",91.4,"88.5 - 173.8 (642)"
27013,"""Blue Earth, (MN)""",67.3,"61.9 - 70.5 (645)"
27015,"""Brown, (MN)""",68.7,"61.9 - 70.5 (645)"
27033,"""Cottonwood, (MN)""",75.6,"70.6 - 77.9 (646)"
27043,"""Faribault, (MN)""",66.5,"61.9 - 70.5 (645)"
27063,"""Jackson, (MN)""",65.8,"61.9 - 70.5 (645)"
27079,"""Le Sueur, (MN)""",62.6,"61.9 - 70.5 (645)"
27081,"""Lincoln, (MN)""",68,"61.9 - 70.5 (645)"
27083,"""Lyon, (MN)""",60.2,"0.0 - 61.8 (645)"
27091,"""Martin, (MN)""",66.4,"61.9 - 70.5 (645)"
27101,"""Murray, (MN)""",78.2,"78.0 - 88.4 (638)"
27103,"""Nicollet, (MN)""",59.8,"0.0 - 61.8 (645)"
27105,"""Nobles, (MN)""",67.5,"61.9 - 70.5 (645)"
27117,"""Pipestone, (MN)""",70.5,"61.9 - 70.5 (645)"
27127,"""Redwood, (MN)""",79,"78.0 - 88.4 (638)"
27133,"""Rock, (MN)""",71.2,"70.6 - 77.9 (646)"
27143,"""Sibley, (MN)""",53.6,"0.0 - 61.8 (645)"
27165,"""Watonwan, (MN)""",65.4,"61.9 - 70.5 (645)"
29003,"""Andrew, (MO)""",62.1,"61.9 - 70.5 (645)"
29005,"""Atchison, (MO)""",60.9,"0.0 - 61.8 (645)"
29009,"""Barry, (MO)""",75,"70.6 - 77.9 (646)"
29011,"""Barton, (MO)""",74.8,"70.6 - 77.9 (646)"
29013,"""Bates, (MO)""",101.4,"88.5 - 173.8 (642)"
29021,"""Buchanan, (MO)""",75.6,"70.6 - 77.9 (646)"
29025,"""Caldwell, (MO)""",80.5,"78.0 - 88.4 (638)"
29037,"""Cass, (MO)""",64.5,"61.9 - 70.5 (645)"
29039,"""Cedar, (MO)""",83.9,"78.0 - 88.4 (638)"
29047,"""Clay, (MO)""",64.8,"61.9 - 70.5 (645)"
29049,"""Clinton, (MO)""",81,"78.0 - 88.4 (638)"
29057,"""Dade, (MO)""",75.8,"70.6 - 77.9 (646)"
29061,"""Daviess, (MO)""",76,"70.6 - 77.9 (646)"
29063,"""DeKalb, (MO)""",73.5,"70.6 - 77.9 (646)"
29075,"""Gentry, (MO)""",76.4,"70.6 - 77.9 (646)"
29081,"""Harrison, (MO)""",77.7,"70.6 - 77.9 (646)"
29083,"""Henry, (MO)""",70.8,"70.6 - 77.9 (646)"
29087,"""Holt, (MO)""",55.6,"0.0 - 61.8 (645)"
29095,"""Jackson, (MO)""",73.9,"70.6 - 77.9 (646)"
29097,"""Jasper, (MO)""",79.3,"78.0 - 88.4 (638)"
29101,"""Johnson, (MO)""",69.6,"61.9 - 70.5 (645)"
29107,"""Lafayette, (MO)""",72.6,"70.6 - 77.9 (646)"
29109,"""Lawrence, (MO)""",76.9,"70.6 - 77.9 (646)"
29119,"""McDonald, (MO)""",72.8,"70.6 - 77.9 (646)"
29145,"""Newton, (MO)""",83.1,"78.0 - 88.4 (638)"
29147,"""Nodaway, (MO)""",56.3,"0.0 - 61.8 (645)"
29165,"""Platte, (MO)""",63.3,"61.9 - 70.5 (645)"
29177,"""Ray, (MO)""",71.1,"70.6 - 77.9 (646)"
29185,"""St. Clair, (MO)""",83.7,"78.0 - 88.4 (638)"
29217,"""Vernon, (MO)""",77.1,"70.6 - 77.9 (646)"
29227,"""Worth, (MO)""",60.2,"0.0 - 61.8 (645)"
31001,"""Adams, (NE)""",50.3,"0.0 - 61.8 (645)"
31003,"""Antelope, (NE)""",64,"61.9 - 70.5 (645)"
31005,"""Arthur, (NE)""",-1,
31007,"""Banner, (NE)""",55.3,"0.0 - 61.8 (645)"
31009,"""Blaine, (NE)""",58.9,"0.0 - 61.8 (645)"
31011,"""Boone, (NE)""",73.4,"70.6 - 77.9 (646)"
31013,"""Box Butte, (NE)""",49.9,"0.0 - 61.8 (645)"
31015,"""Boyd, (NE)""",62.1,"61.9 - 70.5 (645)"
31017,"""Brown, (NE)""",44.8,"0.0 - 61.8 (645)"
31019,"""Buffalo, (NE)""",50.7,"0.0 - 61.8 (645)"
31021,"""Burt, (NE)""",63.6,"61.9 - 70.5 (645)"
31023,"""Butler, (NE)""",68,"61.9 - 70.5 (645)"
31025,"""Cass, (NE)""",63.4,"61.9 - 70.5 (645)"
31027,"""Cedar, (NE)""",56.8,"0.0 - 61.8 (645)"
31029,"""Chase, (NE)""",47.3,"0.0 - 61.8 (645)"
31031,"""Cherry, (NE)""",38.3,"0.0 - 61.8 (645)"
31033,"""Cheyenne, (NE)""",50.9,"0.0 - 61.8 (645)"
31035,"""Clay, (NE)""",60.6,"0.0 - 61.8 (645)"
31037,"""Colfax, (NE)""",63,"61.9 - 70.5 (645)"
31039,"""Cuming, (NE)""",62.5,"61.9 - 70.5 (645)"
31041,"""Custer, (NE)""",47.5,"0.0 - 61.8 (645)"
31043,"""Dakota, (NE)""",65.8,"61.9 - 70.5 (645)"
31045,"""Dawes, (NE)""",61.1,"0.0 - 61.8 (645)"
31047,"""Dawson, (NE)""",46.9,"0.0 - 61.8 (645)"
31049,"""Deuel, (NE)""",49.7,"0.0 - 61.8 (645)"
31051,"""Dixon, (NE)""",57.9,"0.0 - 61.8 (645)"
31053,"""Dodge, (NE)""",64.7,"61.9 - 70.5 (645)"
31055,"""Douglas, (NE)""",63.3,"61.9 - 70.5 (645)"
31057,"""Dundy, (NE)""",50.8,"0.0 - 61.8 (645)"
31059,"""Fillmore, (NE)""",68.5,"61.9 - 70.5 (645)"
31061,"""Franklin, (NE)""",49.1,"0.0 - 61.8 (645)"
31063,"""Frontier, (NE)""",45.5,"0.0 - 61.8 (645)"
31065,"""Furnas, (NE)""",51.2,"0.0 - 61.8 (645)"
31067,"""Gage, (NE)""",66.9,"61.9 - 70.5 (645)"
31069,"""Garden, (NE)""",57.5,"0.0 - 61.8 (645)"
31071,"""Garfield, (NE)""",63.7,"61.9 - 70.5 (645)"
31073,"""Gosper, (NE)""",51.4,"0.0 - 61.8 (645)"
31075,"""Grant, (NE)""",62.2,"61.9 - 70.5 (645)"
31077,"""Greeley, (NE)""",74,"70.6 - 77.9 (646)"
31079,"""Hall, (NE)""",70,"61.9 - 70.5 (645)"
31081,"""Hamilton, (NE)""",61.6,"0.0 - 61.8 (645)"
31083,"""Harlan, (NE)""",51.9,"0.0 - 61.8 (645)"
31085,"""Hayes, (NE)""",38.9,"0.0 - 61.8 (645)"
31087,"""Hitchcock, (NE)""",37.7,"0.0 - 61.8 (645)"
31089,"""Holt, (NE)""",55.1,"0.0 - 61.8 (645)"
31091,"""Hooker, (NE)""",-1,
31093,"""Howard, (NE)""",64.5,"61.9 - 70.5 (645)"
31095,"""Jefferson, (NE)""",63.5,"61.9 - 70.5 (645)"
31097,"""Johnson, (NE)""",67.7,"61.9 - 70.5 (645)"
31099,"""Kearney, (NE)""",45.1,"0.0 - 61.8 (645)"
31101,"""Keith, (NE)""",39.9,"0.0 - 61.8 (645)"
31103,"""Keya Paha, (NE)""",60.6,"0.0 - 61.8 (645)"
31105,"""Kimball, (NE)""",68.3,"61.9 - 70.5 (645)"
31107,"""Knox, (NE)""",58.8,"0.0 - 61.8 (645)"
31109,"""Lancaster, (NE)""",66,"61.9 - 70.5 (645)"
31111,"""Lincoln, (NE)""",45.2,"0.0 - 61.8 (645)"
31113,"""Logan, (NE)""",45.4,"0.0 - 61.8 (645)"
31115,"""Loup, (NE)""",65.8,"61.9 - 70.5 (645)"
31117,"""McPherson, (NE)""",39,"0.0 - 61.8 (645)"
31119,"""Madison, (NE)""",62.5,"61.9 - 70.5 (645)"
31121,"""Merrick, (NE)""",70.2,"61.9 - 70.5 (645)"
31123,"""Morrill, (NE)""",49.8,"0.0 - 61.8 (645)"
31125,"""Nance, (NE)""",75.8,"70.6 - 77.9 (646)"
31127,"""Nemaha, (NE)""",70.7,"70.6 - 77.9 (646)"
31129,"""Nuckolls, (NE)""",53.5,"0.0 - 61.8 (645)"
31131,"""Otoe, (NE)""",67.3,"61.9 - 70.5 (645)"
31133,"""Pawnee, (NE)""",71.6,"70.6 - 77.9 (646)"
31135,"""Perkins, (NE)""",42.3,"0.0 - 61.8 (645)"
31137,"""Phelps, (NE)""",49.4,"0.0 - 61.8 (645)"
31139,"""Pierce, (NE)""",59.4,"0.0 - 61.8 (645)"
31141,"""Platte, (NE)""",67.3,"61.9 - 70.5 (645)"
31143,"""Polk, (NE)""",68.6,"61.9 - 70.5 (645)"
31145,"""Red Willow, (NE)""",52.2,"0.0 - 61.8 (645)"
31147,"""Richardson, (NE)""",79.7,"78.0 - 88.4 (638)"
31149,"""Rock, (NE)""",60.6,"0.0 - 61.8 (645)"
31151,"""Saline, (NE)""",68.8,"61.9 - 70.5 (645)"
31153,"""Sarpy, (NE)""",62.8,"61.9 - 70.5 (645)"
31155,"""Saunders, (NE)""",64.5,"61.9 - 70.5 (645)"
31157,"""Scotts Bluff, (NE)""",42.8,"0.0 - 61.8 (645)"
31159,"""Seward, (NE)""",68.4,"61.9 - 70.5 (645)"
31161,"""Sheridan, (NE)""",67.9,"61.9 - 70.5 (645)"
31163,"""Sherman, (NE)""",51.8,"0.0 - 61.8 (645)"
31165,"""Sioux, (NE)""",49.4,"0.0 - 61.8 (645)"
31167,"""Stanton, (NE)""",59.7,"0.0 - 61.8 (645)"
31169,"""Thayer, (NE)""",61,"0.0 - 61.8 (645)"
31171,"""Thomas, (NE)""",-1,
31173,"""Thurston, (NE)""",63,"61.9 - 70.5 (645)"
31175,"""Valley, (NE)""",61.9,"61.9 - 70.5 (645)"
31177,"""Washington, (NE)""",65,"61.9 - 70.5 (645)"
31179,"""Wayne, (NE)""",61.1,"0.0 - 61.8 (645)"
31181,"""Webster, (NE)""",47.3,"0.0 - 61.8 (645)"
