"cnty_fips","display_name","Value","theme_range"
41021,"""Gilliam, (OR)""",79.1,"78.0 - 88.4 (638)"
41027,"""Hood River, (OR)""",81.2,"78.0 - 88.4 (638)"
41029,"""Jackson, (OR)""",76.2,"70.6 - 77.9 (646)"
41031,"""Jefferson, (OR)""",83.5,"78.0 - 88.4 (638)"
41033,"""Josephine, (OR)""",74.6,"70.6 - 77.9 (646)"
41035,"""Klamath, (OR)""",79.8,"78.0 - 88.4 (638)"
41037,"""Lake, (OR)""",75.8,"70.6 - 77.9 (646)"
41039,"""Lane, (OR)""",78.7,"78.0 - 88.4 (638)"
41041,"""Lincoln, (OR)""",76.1,"70.6 - 77.9 (646)"
41043,"""Linn, (OR)""",77,"70.6 - 77.9 (646)"
41047,"""Marion, (OR)""",77.2,"70.6 - 77.9 (646)"
41051,"""Multnomah, (OR)""",82.7,"78.0 - 88.4 (638)"
41053,"""Polk, (OR)""",75.9,"70.6 - 77.9 (646)"
41055,"""Sherman, (OR)""",78.6,"78.0 - 88.4 (638)"
41057,"""Tillamook, (OR)""",70.7,"70.6 - 77.9 (646)"
41065,"""Wasco, (OR)""",77.7,"70.6 - 77.9 (646)"
41067,"""Washington, (OR)""",72.4,"70.6 - 77.9 (646)"
41069,"""Wheeler, (OR)""",98.7,"88.5 - 173.8 (642)"
41071,"""Yamhill, (OR)""",74.5,"70.6 - 77.9 (646)"
53007,"""Chelan, (WA)""",59.1,"0.0 - 61.8 (645)"
53009,"""Clallam, (WA)""",72.5,"70.6 - 77.9 (646)"
53011,"""Clark, (WA)""",78.7,"78.0 - 88.4 (638)"
53015,"""Cowlitz, (WA)""",78.5,"78.0 - 88.4 (638)"
53027,"""Grays Harbor, (WA)""",70.7,"70.6 - 77.9 (646)"
53029,"""Island, (WA)""",61.9,"61.9 - 70.5 (645)"
53031,"""Jefferson, (WA)""",74,"70.6 - 77.9 (646)"
53033,"""King, (WA)""",57.7,"0.0 - 61.8 (645)"
53035,"""Kitsap, (WA)""",85.8,"78.0 - 88.4 (638)"
53037,"""Kittitas, (WA)""",60.9,"0.0 - 61.8 (645)"
53039,"""Klickitat, (WA)""",67.7,"61.9 - 70.5 (645)"
53041,"""Lewis, (WA)""",74.7,"70.6 - 77.9 (646)"
53045,"""Mason, (WA)""",76.1,"70.6 - 77.9 (646)"
53047,"""Okanogan, (WA)""",72.8,"70.6 - 77.9 (646)"
53049,"""Pacific, (WA)""",74,"70.6 - 77.9 (646)"
53053,"""Pierce, (WA)""",91.5,"88.5 - 173.8 (642)"
53055,"""San Juan, (WA)""",54.4,"0.0 - 61.8 (645)"
53057,"""Skagit, (WA)""",67,"61.9 - 70.5 (645)"
53059,"""Skamania, (WA)""",76,"70.6 - 77.9 (646)"
53061,"""Snohomish, (WA)""",60.8,"0.0 - 61.8 (645)"
53067,"""Thurston, (WA)""",71.2,"70.6 - 77.9 (646)"
53069,"""Wahkiakum, (WA)""",75.3,"70.6 - 77.9 (646)"
53073,"""Whatcom, (WA)""",57.8,"0.0 - 61.8 (645)"
53077,"""Yakima, (WA)""",62.8,"61.9 - 70.5 (645)"
04001,"""Apache, (AZ)""",72.2,"70.6 - 77.9 (646)"
04003,"""Cochise, (AZ)""",64.5,"61.9 - 70.5 (645)"
04005,"""Coconino, (AZ)""",61.3,"0.0 - 61.8 (645)"
04007,"""Gila, (AZ)""",58.9,"0.0 - 61.8 (645)"
04009,"""Graham, (AZ)""",67.5,"61.9 - 70.5 (645)"
04011,"""Greenlee, (AZ)""",66.2,"61.9 - 70.5 (645)"
04012,"""La Paz, (AZ)""",56.1,"0.0 - 61.8 (645)"
04013,"""Maricopa, (AZ)""",59,"0.0 - 61.8 (645)"
04015,"""Mohave, (AZ)""",68.9,"61.9 - 70.5 (645)"
04017,"""Navajo, (AZ)""",73.6,"70.6 - 77.9 (646)"
04019,"""Pima, (AZ)""",63.4,"61.9 - 70.5 (645)"
04021,"""Pinal, (AZ)""",48.5,"0.0 - 61.8 (645)"
04023,"""Santa Cruz, (AZ)""",64.2,"61.9 - 70.5 (645)"
04025,"""Yavapai, (AZ)""",59.3,"0.0 - 61.8 (645)"
04027,"""Yuma, (AZ)""",57.8,"0.0 - 61.8 (645)"
06003,"""Alpine, (CA)""",83.3,"78.0 - 88.4 (638)"
06019,"""Fresno, (CA)""",83.9,"78.0 - 88.4 (638)"
06025,"""Imperial, (CA)""",63.5,"61.9 - 70.5 (645)"
06027,"""Inyo, (CA)""",75.5,"70.6 - 77.9 (646)"
06029,"""Kern, (CA)""",73.4,"70.6 - 77.9 (646)"
06037,"""Los Angeles, (CA)""",65.9,"61.9 - 70.5 (645)"
06039,"""Madera, (CA)""",70.6,"70.6 - 77.9 (646)"
06051,"""Mono, (CA)""",61.4,"0.0 - 61.8 (645)"
06059,"""Orange, (CA)""",73.5,"70.6 - 77.9 (646)"
06065,"""Riverside, (CA)""",69.9,"61.9 - 70.5 (645)"
06071,"""San Bernardino, (CA)""",80,"78.0 - 88.4 (638)"
06073,"""San Diego, (CA)""",76.9,"70.6 - 77.9 (646)"
06107,"""Tulare, (CA)""",85.4,"78.0 - 88.4 (638)"
06111,"""Ventura, (CA)""",68.3,"61.9 - 70.5 (645)"
08007,"""Archuleta, (CO)""",72.1,"70.6 - 77.9 (646)"
08029,"""Delta, (CO)""",74.1,"70.6 - 77.9 (646)"
08033,"""Dolores, (CO)""",62.5,"61.9 - 70.5 (645)"
08045,"""Garfield, (CO)""",62.9,"61.9 - 70.5 (645)"
08051,"""Gunnison, (CO)""",54.8,"0.0 - 61.8 (645)"
